Product:,"Ricoh 910725 Theta V camera, Metallic Gray"
URL:,https://www.amazon.ca/Ricoh-Theta-camera-Metallic-Gray/dp/B074W5BKYS/ref=sr_1_1_sspa?dchild=1&keywords=electronics&qid=1606075994&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzS0gzVkdONUtPNldWJmVuY3J5cHRlZElkPUEwMTUwNDQ1MTZNWjZMNzc3MjIyTCZlbmNyeXB0ZWRBZElkPUEwOTAzODIwMlk1WDNGVDhGSFhESCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
Price:,439.00
Overall Rating:,4.4 out of 5 stars
Reviews:
Title,Rating,Review,Date,Author
pricy but great!,5.0,"image quality is amazing. i’ve been using this for different purposes. i’m getting into 3d rendering and use the camera to create quick HDRIs which come out quite clean. I also have been dabbling in 360 streaming, which has been quite useful during this quarantine, allowing our friends and family who aren’t able to make it to some special events due to capacity restrictions to enjoy the day and observe the entire room.","September 14, 2020",Talha Tabish
Cheap components/housing. Very fragile.,1.0,"Unfortunately the product housing exploded after being tipped over on the tripoid. It didn't hit hard, but the bump was enough to explode the components.. Now it won't go back together properly. Very cheaply made for what it costs.","August 27, 2020",VancouverSean
Why...why buy this?,1.0,"I owned this for 4 hours which was 3 hours and 59 minutes too long. I was going to ya edit for work but it’s slow, cumbersome and really unnecessary. My phone does good enough. Maybe it’s my fault, maybe my expectations were to high.","October 1, 2018",Jed
Good,5.0,"Good camera, great videos and pictures, battery inside and no external card. Internal memory bad for that but good quality","December 27, 2018",Cristian Sanchez
it works,3.0,lot of money for the value it works but it is a hell of a job to get it figured out cool camera  lots of issue's but once ya figure it out ..its pretty cool,"April 28, 2019",Leonard Mabee
Ricoh Theta V Rocks,5.0,"Beautiful pictures and video coming from a novice. Unfortunately, it zaps battery when taking video","July 20, 2020",Joeadamxx
Works well,5.0,"Good resolution, easy to comnect. We used it for Google My Business listings and it worked great.","August 12, 2019",Joel Wiebe
Not bad,4.0,There are cheaper alternatives that do the job as well. Unless you're using it with a certain app where they only support Ricoh Theta check the Xiaomi alternatives,"January 7, 2019",Hammond
Great camera,5.0,"This is my second Ricoh 360 camera. The V replaces an earlier model, the SC. The V is much better. Faster transfer speed and image quality. But a quality low profile tripod while you're at it.","August 23, 2020",Rob Gurdebeke
As described  love this item,5.0,The item arrived on time and is as described it took a little while to get used to connecting,"April 2, 2019",Amazon Customer
Nicw,5.0,Nice camera but not that high resolution,"April 25, 2020",Su
Awesome quality photos,5.0,The quality of the photos is way better than expected. Takes full HD photo spheres and you can't tell where the seam is at all. Perfect for Real Estate photography.,"April 2, 2019",Joey
Works well,5.0,I do wish it took higher resolution photos but it is as described and the camera works well.,"November 25, 2018",Mark
Easy to use VR camera,5.0,This is a very cool device and takes great pictures easily.  It is simple to get them into a VR rig or onto Facebook as well.,"October 2, 2018",Eric H
Would buy another,5.0,Love the quality and how easy it is to use!,"July 16, 2019",CCDMA
very good,5.0,very good,"September 1, 2020",Elitsa
Good Camera,4.0,I've receive the package in time. Ricoh Theta V works very well with my Samsung Galaxy S6 Edge. I find the photos a little blurry but I need to test it more.,"June 4, 2018",Carl Servant
Love it!,5.0,Great shipping time. Great camera!,"May 23, 2020",Alison
compatibilité,5.0,Attention Caméra pour personne ayant un ordinateur assez récent sinon vous devez vous munir de complications au niveau des plugins,"September 15, 2018",martin laberge
Best 360 cameras,5.0,Best 360 cameras,"September 28, 2020",SeanIsraelson
Great little unit,4.0,"Great little unit. Resolution is a bit disappointing when zooming in on pics, but very useful on job sites.","January 29, 2018",Bruce G.
Poor image quality,2.0,Outdoor image quality is poor. Wish I got a better model.,"July 23, 2020",Isaac Adams-Hands
Must be paired with an Apple iPhone or iPad to be functional. Android would be nice.,4.0,For the price it's a solid buy.,"April 18, 2020",Christopher Gaska
"Nice 20MP resolution, perfect stitching . All I was asking.",5.0,I just love it!,"August 5, 2018",Steeve
,,"Have been a big fan of Ricoh Theta cameras for some time and have a good experience with 360 media and equipment. Here are the Pro's of the V in my experience, compared with the S and other cams: - 4k video is really good quality and copes with low lighting well (far far better than the Nikon KeyMission). - 4k video can be streamed to youtube via a PC (a driver, currently in beta, is needed to do this but it does it well). - the transfer speeds over wifi are very fast (a big step up over the Theta S) - The app is still really great. - It can be charged with any charger (Theta S would refuse to charge with a high amp usb charger) - Ability to run apps on it seems promising (edit: This is being rolled out soon 2018) - Ability to sense tilt seems promising (edit: now auto stabilises video) - Small deadzone. the lenses are close together, there's very little dead space in the image. - images every 4 seconds with timelapse mode rather than 7 - can stream to a tv that has an amazon firestick. The Cons: - Same image sensor as the Theta S. The camera has a faster processor and you should get less noise on the images, but the resolution is the same. - Image stitching seems worse.. maybe due to the new lens system.. Imagine a firmware update will fix this. (edit: some way to being fixed) - Still no SD Card slot. Don't feel like opening this one up just yet, but all the others have had SD cards hidden inside them.. these have probably been kept hidden as they'd need a fast SD card to work well with 4k video.. perhaps people would complain their card didn't work all the time if they put an access slot in? insta, samsung, mija all have this. - Still has a plastic tripod thread, this was a bit fragile and actually broke on my S. - There's no autostabilistion like on Mija or insta360 cameras, despite it having sensors to do so.. this should at least be able to be applied in post production on the app. (Edit: the autostabilisation now works) - Bit pricey really.","Reviewed in the United Kingdom on September 30, 2017",mark caswell-daniels
,,"Things you need to understand about this camera. 1. It takes 360° Spherical images. 2. It does not spin around 3. You need to use two apps. The Ricoh Theta App and the Ricoh Theta+ app. 4. You need to learn how to remove the Nadir. Check YouTube for tutorials on this.  The nadir is the image that remains of the tripod mount you use when you take a picture. 5. You need to learn about Tiny Planets.  These are app made filtered images that are pretty cool.  Again check Instagram this time for examples. 6. Learn how to take images using the self timer function. 7. You will also need a monopod with a tripod base suitable for this camera. The Ricoh one is overpriced.  I bought a carbon fibre one and a separate base. You don’t need one straight away - but as you develop your 360° photo taking skills it will be a requirement. Essentially this is the latest model of the Theta family.  (UPDATE MAY2019 THE Z1 IS NOW THE LATEST MODEL) It has a faster processor and offers 4K 360° video as well as spherical sound (with added microphone) (UPDATE- I USED THE EXTERNAL MICROPHONE AND IT ADDED NOTHING IMHO - OTHER THAN A WIND NOISE SUPPRESSING FOAM, THERE WAS NO BENEFICIAL INCREASE IN SOUND CLARITY) The theta has the best examples of stitched in camera stitching of all the cameras out there.  For the money you can’t really get  better.  So there’s one reason to get it. The camera uses its in house Wi-fi to connect to your smart phone and you take the photo using the theta app. You can extend the connection by connecting the camera to your home or any router - a feature only V can do. I would also advise getting a silicon skin straight away. Cheap enough to buy. (UPDATE - A SILICON SKIN CREATES A SHADOW IN THE IMAGE, SO BUY A CASE INSTEAD) There is a more technical side to manipulating and displaying 360° photos so you do need to do your research otherwise you will be disappointed. However if you’re set on joint the 360° revolution (pun intended) this is the best camera you can get for the money. Both the little sister and brothers of this camera the S and the SC are equally good at taking still photos - you just lack the 4K and a few other features.  So if you don’t want to spend £300+ I would advise getting one of those.  They’re a bit slower due to the processor but they are pretty brilliant too.","Reviewed in the United Kingdom on September 28, 2018",Pete E
,,"Your browser does not support HTML5 video. Prior to a trip to Hawaii and Las Vegas I wanted to get a good camera, something different, to capture the vacation. I thought about a drone, but went for this instead, and I am SO Please that I did. Some of the results are fantastic. I've put a couple ""little planet"" Conversions up. I love how these come out.","Reviewed in the United Kingdom on November 17, 2018",Chris Fletcher
,,"Je dois vous prévenir d'une chose, cette caméra m'a été offerte, je suis donc sans doute plus enclin à la trouver géniale que si j'avais dû investir mon argent... Les points positifs : - je la trouve très compacte, on la glisse dans la poche et on la dégaine rapidement. Idéale pour les ballades - rapide, on clique et la photo se prend tout de suite (pas de temps d'attente de mise au point ou autre...) - j'adore le visionnage où l'on navigue dans la photo en orientant son smartphone - finalement je l'utilise à titre professionnel, sur chantier, plus besoin de prendre des dizaines de photos et panoramiques pour se rendre compte qu'il en manque toujours un coin, en 1 clic, TOUT est là. - possibilité de la piloter entièrement à distance par smartphone pour avoir des photos complètement vierges les points négatifs : - quelques problèmes d'allumage aux premières utilisations, impossible de comprendre si il s'agissait d'un problème de batterie ... - peut être la définition un peu juste, on voudrait pouvoir zoomer encore davantage sur les images Si mon commentaire vous a aidé, n'hésitez pas à mentionner qu'il vous a été utile. Cela me fait toujours plaisir de savoir que je suis lu et que mon commentaire a pu aider quelqu'un! :)","Reviewed in France on June 17, 2019",colrol
,,"DOES NOT RECORD 360 SPACIAL AUDIO WITHOUT THE ADDITIONAL MICROPHONE! Even though Amazon's description says it can, or rather, doesn't actually state implicitly that you need the microphone to achieve 360 spacial audio recording. If you don't want the 360 spacial audio then it's a great camera by itself. Converting software is required to get it into an equirectangular format and download times from the camera to a laptop is quite slow, to a phone (I have an iPhone 7) is reeeeeeeeeally slow! As long as you have patience and planning, the footage is great.","Reviewed in the United Kingdom on December 5, 2017",Jonathan P.
,,"This is an impressive, small, 4K 360 camera. It is very easy to use after a little bit of preparation linking the unit to your mobile phone. This involves downloading the Ricoh app available for iOS or Android, in my case installing a firmware update, and linking the phone and the camera via bluetooth. The camera takes 360 still frames, 360 video and will stream 360 video live. Without the optional, but very expensive, attachable microphone, it still captures sound at a fair quality level using in built microphones. There is a software update which links the camera directly to an Oculus Go headset so that you can review images immediately after capture in a VR environment which is a big bonus. Less positively the battery life of the camera is quite limited, you cannot add additional storage to the camera as there's not memory card port, and it's very easy to get out of bluetooth range in use so you can't press the shutter button remotely from a distance - so there's a danger you end up appearing in all shots. Overall though an easy to use quality camera. Four stars.","Reviewed in the United Kingdom on February 24, 2019",Dr. Paul Ell
,,"Bought the Theta V for use as an underwater camera, along with the Ricoh TW-1 underwater housing. It seemed to get the best reviews for the price. Very easy to use with minimal buttons for operation - handy when you have thick scuba gloves on! Slightly annoying there is no memory card slot - I've found that it will record ~45 minutes of footage in 4k before it is full. Battery life seems good however. Also fairly time consuming to get the footage into a usable state to upload to YouTube etc but it's worth it. Stitch lines are there in underwater footage but far less noticeable than I saw with other cameras, Ricoh TW-1 underwater housing also has a visible crescent of the housing at the bottom of the shot but no way around this. As above, the combination of camera and housing was the best I felt I could get for the money. The camera is not as compact as other GoPro style cameras but feels sturdy with good built quality. Certainly not disappointed and will continue to enjoy using it!","Reviewed in the United Kingdom on April 2, 2018",gillipies
,,"After returning from a recent trip I found that my favourite photos were the 360 degree ones. However the stitching on them was never perfect, it was almost impossible to take them in busy places and they take quite a while to take with a Pixel XL. After reading a number of reviews and looking at the Pros and Cons of cameras which were slightly cheaper/more expensive. This one works for me for low light/normal UK weather mainly just taking photos with this. The main negative for me is that the lenses can't be replaced, so if you drop this camera and it's not insured you will have to buy a new one for £££.  I found a silicone sleeve case on Amazon which covers the case and has a removable lens cover. I have had some intermittent issues connecting to the camera wirelessly from my phone.","Reviewed in the United Kingdom on January 7, 2019",J Scrumpy
,,"... ich habe mit der LG 360 CAM begonnen, bin dann zur RICOH Theta S gewechselt und nun bei der Theta V. Was die Software der Kamera  betrifft, ist noch sehr viel Luft nach oben. Die Verarbeitung ist hochwertig, die Optik gut, das Stitching bei Video und Photo wesentlich besser geworden, auch die Geschwindigkeit der Übertragung auf das Smartphone geht jetzt rasant. Die Klagen, welche hier geführt werden, sind verständlich aber durchaus nicht immer gerechtfertigt: z. B. mache ich fast immer Serienfotos mit der Intervallfunktion mit  ISO oder Belichtungs Vorwahl. Ich habe die Kamera auf einem sehr handlichen Selfie Stick in der Tasche und kann sie somit schnell bedienen. Nachbearbeitet werden Fotos und Videos auf meinem LG G5 mit diversen Apps von der Retouche bis hin zur Objektentfernung - nur bei Stativaufnahmen. Auch die nicht allein für die Theta V typischen chromatichen Aberrationen, welche gegenüber der Theta S weniger gravierend sind, werden nachbearbeitet. Erst dann erfolgt das Hochladen auf die ein oder andere Plattform. Insgesamt bin ich mit dieser Kamera sehr zufrieden. Softwareupdates und - Weiterentwicklung sind vom Hersteller in Aussicht gestellt. Klare Kaufempfehlung.","Reviewed in Germany on October 14, 2017",Casse pied
,,"Although the camera does what it says, and records at 4k, what I hadn't taken into account was that the 4k now has to spread over a 360 degree sphere.  This means that the final viewed quality is a lot less than HD.  Not the fault of teh camera, just a fact of life that there are not enough pixels to go around. Having said that - it is a super easy camera to use, stitching is in real time - no need for any post in that respect which is a huge bonus.  I used NCH VideoPad to edit together a couple of clips without any problem at all. Any people / objects more than about 2 meters away loose definition and as for someone at the other side of the room - forget about it.  This camera is for intimate settings like a small music session, or a group of people chatting. As for me, I'm now waiting for the 180 degree cameras due in 2019.  They have more raw pixels to shoot with and the final image only has to be spread across a hemispheres - by all accounts giving much sharper experience.","Reviewed in the United Kingdom on December 25, 2018",Oliver
,,Easy to carry around in your pocket and works with the press of a button. Make sure that you get into the centre of what's happening because it's a 360 camera so you don't point it like a normal camera. Spatial audio is actually very good. Can film in very low light with great results.,"Reviewed in the United Kingdom on October 10, 2019",Michael Crowe
,,"Best feature: portability The design enables you to carry the device in your pocket. The bulging lenses really have to be protected. So although it would fit in your pocket, please use a nice case. This isn't built for action in waters. It is not water resistant. So be careful. Don't use it like you would use an action camera. Beautiful picture quality. Excellent dynamic range. The editor app on the phone does an excellent job. Videos are great quality too.","Reviewed in the United Kingdom on December 3, 2018",E. Gopalakrishnan
,,"Bildqualität ist auf mäßigem Smartphonemamera-Niveau (letztere kann natürlich keine 360 Grad Fotos). Naja, es sollen ja keine Kunstwerke sein, die Kamera ist für Schnappschüsse gedacht. Enttäuscht bin ich von der Bluetooth-Funktion, in die ich größere Erwartungen gesteckt hätte. V.a. in Kombination mit der iPhone App, hier gäbe es viel Optimierungspotential. Die eigentlich sehr elegante Funktion, via Bluetooth-Verbindung die GPS Position zu übertragen, auch wenn die App gerade nicht geöffnet ist (damit man auch mal mit der Kamera direkt ein Foto machen kann, ohne jedes Mal das Handy einzuschalten und die App starten zu müssen) kann man im Alltag getrost vergessen, denn die App verbraucht dann unverschämt viel Strom (nach wenigen Stunden ist der Akku ganz leer, also ungeeignet für einen Urlaubstag mit gelegentlichen Schnappschüssen). Die Geotagging-Funktion der App ist von den Entwicklern offensichtlich nie im realen Einsatz getestet worden. Das Intervall in dem die GPS Position abgefragt wird ist wohl viel zu kurz programmiert, ohne Einflussmöglichkeit dies zu verlängern um den Stromverbrauch auf ein Maß zu reduzieren, damit die Funktion nutzbar ist. (Möchte man den Stromverbrauch der App vorrübergehend reduzieren, geht dass nur über die Einstellung in der App selbst, diese ist aber nur verfügbar wenn die Kamera über WLAN verbunden ist, nicht bei Verbindung nur über Bluetooth. Sehr umständlich, und der Weg die stromfressende vermutlich jede Sekunde erfolgende GPS Lokalisierung über die iPhone Einstellung zu deaktivieren, um vorübergehend den Akkuverbrauch des Smartphones zu reduzieren - ohne nur dafür extra die Kamera aus der Tasche zu holen, einzuschalten, WLAN zu aktivieren, dann in der App ins Untermenü zu gehen... - ist wegen der unsauber bzw. schlecht programmierten App auch zwecklos: Die App zieht auch massig Strom wenn man ihr den Zugriff auf die GPS Position entzieht - sie versucht es wohl sekündlich weiter auch wenn sie gar keinen Zugriff auf die GPS Position hat und verheizt den Akku nutzlos weiter). Die zweite eklatante Fehlplanung ist, dass man die Bluetooth Funktion nicht für einen Fernauslöser  nutzen kann. D.h. man hat nur folgende Möglichkeiten: 1. Auslösen an der Kamera -> Daumen/Hand ist immer gigantisch groß und störend im Bild 2. Auslösen über die Smartphone App -> jedes Mal extra Handy aus der Tasche holen, App starten, auf Verbindung warten, und auf jedem Foto hat man das Handy in der Hand (braucht somit auch immer beide Hände und hat keine mehr frei -> umständlich, und lästig da eine einhändige Benutzung unmöglich ist (mit kleinem Kind unterwegs, oder eine Tasche in der Hand ... unmöglich) 3. Eine überteuerte, schwer erhältliche kabelgebundene Fernbedienung von Ricoh -> kabelgebunden? geht’s noch? Wir schreiben das Jahr 2017, nicht 1917! Die Kamera benutzt auch keinen Film mehr... Ärgerlich, da alles an Hardware vorhanden und eingebaut ist, was man für wesentlich elegantere und praktischere Lösungen brauchte: 4. Einen kleinen billigen Bluetooth-Fernauslöser (am besten direkt integriert in einen Selfiestick, den sieht man am Foto nicht und man hat keine skurrile Riesen-Hand formatfüllend im Foto) direkt via Bluetooth mit der Kamera verbinden 5. Als Notlösung (aber immer noch viel besser als die aktuell möglichen Varianten 1-3) den Fernauslöser mit dem Handy verbinden, und die Theta App würde diesen als Auslöser akzeptieren wie nahezu jede Kamera App. Dann könnte das Handy in der Tasche bleiben, und man bräuchte nur eine Hand (BT-Auslöser am Griff des Selfie-Stick) 6. Über die Mikrofon-Buchse auslösen (mit entsprechenden massenhaft verfügbaren Selfiesticks, die über statt mit Bluetooth über die Kopfhörerbuchse des Smartphones verbunden werden (praktisch, da kein Akku/Batterie leer werden kann, aber kleines Kabel im Bild) Eigentlich könnten alle Kritikpunkte mit einem kleinen Update der App bzw. der Kamerafirmware behoben werden, dann gäbe es 4 Sterne (1 Abzug wegen der Bildqualität). Ich bezweifle aber, dass Ricoh das machen wird...","Reviewed in Germany on October 7, 2017",reinhold messner
,,"Digamos que soy un usuario experimentado. Tengo una Samsung 360, una Nikon 360 y ahora he comprado esta Theta que me tiene sorprendido. Conecta inmediatamente, pasa las fotos con gran rapidez y es muy cómoda de transportar. Al contrario de la Nikon, el software es muy seguro y eficaz. En fin , un diez , vista la madiocridad de las otras.","Reviewed in Spain on April 4, 2018",Carlos
,,The cameras only real problem is that it has no external SD card and no replaceable battery. The results are really quite acceptable. Most images video or stills have a pinkish flare spotted in the image. I have no hesitation recommending this camera to someone who wants to put their toe into the 360 degree camera world.,"Reviewed in the United Kingdom on October 28, 2018",MontyBest
